month;id;name;type;data_status;unique_users;net_reach;unique_clients;visits;impressions;impressions_at_percent;usetime_seconds;usetime_formatted;impressions_per_visits
2025-07-01;376;"world.a1.net";service;OK;208747;2.893;223639;1858840;3653627;96.62;495;08:15;1.97
2025-07-01;349;"mail.a1.net";service;OK;123667;1.714;150656;1425198;8773026;94.28;226;03:46;6.16
2025-07-01;40;"kronehit.at";service;OK;151052;2.094;206149;532434;1219673;82.62;209;03:29;2.29
2025-07-01;34;"heute.at";service;OK;3544366;49.125;4867365;27739538;103800352;93.22;279;04:39;3.74
2025-07-01;4;"COPE";adnetwork;OK;5581857;77.365;13788511;123579019;1349340357;91.93;457;07:37;10.92
2025-07-01;601;"styleupyourlife.at";service;OK;120867;1.675;185283;243676;390400;81.49;125;02:05;1.60
2025-07-01;188;"tele.at";service;OK;252664;3.502;323344;2009936;7537780;94.89;176;02:56;3.75
2025-07-01;184;"arboe.at";service;OK;0;0;0;0;3;0.00;0;00:00;0.00
2025-07-01;148;"willhaben.at";service;OK;4442312;61.571;7401669;83023988;1171031743;91.75;552;09:12;14.10
2025-07-01;103;"skysportaustria.at - Sky Österreich";service;OK;425684;5.9;495888;1488577;3975039;94.54;157;02:37;2.67
2025-07-01;88;"ligaportal.at";service;OK;535245;7.419;589237;3326691;18198486;95.04;362;06:02;5.47
2025-07-01;84;"kleinezeitung.at";service;OK;2921720;40.495;4214290;22538561;119102305;93.65;279;04:39;5.28
2025-07-01;83;"diepresse.com";service;OK;1621872;22.479;2327164;8985892;28155710;87.75;233;03:53;3.13
2025-08-01;1;"austria.com/plus";adnetwork;OK;4746272;65.783;10580544;63474062;224261683;91.16;228;03:48;3.53
2025-08-01;177;"bvz.at";service;OK;240921;3.339;339567;781202;3763459;94.50;152;02:32;4.82
2025-08-01;146;"tvheute.at - das TV-Magazin";service;OK;631695;8.755;800280;4323146;16813628;92.09;173;02:53;3.89
2025-08-01;126;"tt.com";service;OK;1709476;23.693;2743150;9476018;25542067;85.13;192;03:12;2.70
2025-08-01;123;"regionaljobs.at";service;OK;64550;0.895;119076;159880;517007;83.97;174;02:54;3.23
2025-08-01;122;"tips.at";service;OK;1279154;17.729;1470883;3585534;5446214;91.96;163;02:43;1.52
2025-08-01;81;"sn.at - Salzburger Nachrichten";service;OK;1523682;21.118;2232006;5463069;19746802;83.78;174;02:54;3.61
2025-08-01;80;"salzburg24.at";service;OK;1136162;15.747;1380271;5645334;19426618;91.82;195;03:15;3.44
2025-08-01;64;"nachrichten.at - Nachrichten.at";service;OK;2079977;28.829;2712717;11847673;35949059;93.47;204;03:24;3.03
2025-08-01;54;"noen.at - NÖN";service;OK;1328430;18.412;1603993;6230626;35286169;96.24;164;02:44;5.66
2025-08-01;4;"vol.at - VORARLBERG ONLINE";service;OK;1504834;20.857;1927054;13196248;38406106;91.16;296;04:56;2.91
2025-08-01;3;"vienna.at - VIENNA ONLINE";service;OK;680263;9.428;777782;1603565;3067193;91.02;130;02:10;1.91
2025-08-01;2;"Goldbach Audience";adnetwork;OK;4143882;57.434;7150277;38608856;129063845;92.30;267;04:27;3.34
2025-08-01;1601;"5min.at";service;NO_DATA;;;;;;;;;
2025-08-01;1395;"motorrad-magazin.at";service;OK;10301;0.143;81511;96888;128931;30.51;87;01:27;1.33
2025-08-01;391;"yesss.at";service;OK;74639;1.034;65357;149814;450594;91.55;276;04:36;3.01
2025-08-01;376;"world.a1.net";service;OK;199685;2.768;211224;1851855;3688310;96.18;503;08:23;1.99
2025-08-01;349;"mail.a1.net";service;OK;159091;2.205;149605;1253045;8187774;93.97;225;03:45;6.53
2025-08-01;40;"kronehit.at";service;OK;103554;1.435;194016;471467;1043775;81.07;197;03:17;2.21
2025-08-01;34;"heute.at";service;OK;3756182;52.061;5754991;30084569;105637166;92.06;268;04:28;3.51
2025-08-01;4;"COPE";adnetwork;OK;5634472;78.094;14848950;139478289;1472362575;91.62;463;07:43;10.56
2025-08-01;601;"styleupyourlife.at";service;OK;76029;1.054;197704;240451;389607;79.72;124;02:04;1.62
2025-08-01;188;"tele.at";service;OK;260575;3.612;264736;1882365;7823248;95.22;178;02:58;4.16
2025-08-01;184;"arboe.at";service;OK;0;0;0;0;0;0.00;0;00:00;0.00
