month;id;name;type;data_status;unique_users;net_reach;unique_clients;visits;impressions;impressions_at_percent;usetime_seconds;usetime_formatted;impressions_per_visits
2022-01-01;27;"fondsprofessionell.at - FONDS professionell";service;OK;43265;0.615;58193;118991;399289;81.51;235;03:55;3.36
2022-01-01;28;"gutekueche.at";service;OK;2465122;35.031;9833492;19475708;35038179;36.08;193;03:13;1.80
2022-01-01;29;"gmx.at - GMX.at";service;OK;2438862;34.658;3279779;70396533;343829451;96.63;361;06:01;4.88
2022-01-01;30;"gmx.net - GMX.at";service;OK;1251696;17.787;1603337;13504341;143069312;95.66;446;07:26;10.59
2022-01-01;34;"heute.at";service;OK;4096376;58.212;8649842;46471106;149966183;90.28;219;03:39;3.23
2022-01-01;37;"industriemagazin.at - Das österreichische Industriemagazin";service;OK;5613;0.08;15823;19898;30993;65.76;152;02:32;1.56
2022-01-01;38;"kosmo.at";service;OK;203668;2.894;404274;722643;1011188;61.95;164;02:44;1.40
2022-01-01;40;"kronehit.at";service;OK;248270;3.528;362798;972460;2248759;89.69;229;03:49;2.31
2022-01-01;42;"netdoktor.at";service;OK;743649;10.568;1092894;1825231;3124638;92.84;154;02:34;1.71
2022-01-01;46;"autorevue.at";service;OK;267057;3.795;502442;627126;886039;48.90;158;02:38;1.41
2022-01-01;47;"gusto.at";service;OK;313132;4.45;480660;696455;1068474;68.16;178;02:58;1.53
2022-01-01;48;"news.at";service;OK;532391;7.566;729973;1243431;15400508;93.19;228;03:48;12.39
2022-01-01;49;"trend.at";service;OK;154606;2.197;254688;328665;422602;61.22;142;02:22;1.29
2022-01-01;50;"tv-media.at";service;OK;220878;3.139;288933;963432;1707339;90.03;217;03:37;1.77
2022-01-01;51;"woman.at ";service;OK;381212;5.417;747746;1050056;3462008;67.19;110;01:50;3.30
2022-01-01;54;"noen.at - NÖN";service;OK;1267391;18.01;1675351;5551286;21162969;96.27;158;02:38;3.81
2022-01-01;57;"oe24.at";service;OK;2706003;38.454;4851321;23188624;159025990;92.28;226;03:46;6.86
2022-01-01;58;"wetter.at";service;OK;613449;8.717;1031898;2510206;49062934;69.92;120;02:00;19.55
2022-01-01;61;"fussballoesterreich.at";service;OK;70341;1;61355;205922;1648568;96.58;310;05:10;8.01
2022-01-01;64;"nachrichten.at - Nachrichten.at";service;OK;1483328;21.079;2145843;8945068;27398323;93.93;251;04:11;3.06
2022-01-01;67;"orf.at";service;OK;5207730;74.005;14954423;135473853;657256800;92.47;377;06:17;4.85
2022-01-01;70;"rollingpin.at";service;OK;36966;0.525;42578;63717;165688;65.74;161;02:41;2.60
2022-01-01;74;"kochbar.de";service;OK;74099;1.053;68852;78571;138873;99.83;110;01:50;1.77
2022-01-01;75;"rtl.de";service;OK;6889;0.098;1042;2351;3020;99.50;111;01:51;1.28
2022-01-01;76;"vip.de";service;OK;221811;3.152;272825;799875;2091202;99.71;202;03:22;2.61
2022-01-01;78;"tvnow.at";service;OK;205898;2.926;237433;1321996;3349359;98.30;515;08:35;2.53
2022-01-01;80;"salzburg24.at";service;OK;936559;13.309;1409236;6751769;20694516;93.34;228;03:48;3.07
2022-01-01;81;"sn.at - Salzburger Nachrichten";service;OK;1179205;16.757;1875576;4314640;31324797;88.31;202;03:22;7.26
2022-01-01;83;"diepresse.com";service;OK;1535766;21.824;2356390;8079619;18125893;90.55;220;03:40;2.24
2022-01-01;84;"kleinezeitung.at";service;OK;2125892;30.21;3641612;16762519;56324374;95.16;235;03:55;3.36
2022-01-01;86;"diva-online.at";service;OK;0;0;2889;4076;4837;58.96;56;00:56;1.19
2022-01-01;87;"ichkoche.at";service;OK;1119677;15.911;1939787;3287551;8270448;71.66;168;02:48;2.52
2022-01-01;88;"ligaportal.at";service;OK;380499;5.407;393270;1587651;6542936;96.55;212;03:32;4.12
2022-01-01;92;"wienerin.at";service;OK;109366;1.554;458596;569124;755286;26.36;110;01:50;1.33
2022-01-01;94;"servustv.com";service;OK;1189;0.017;1386;2867;4918;44.31;102;01:42;1.72
2022-01-01;96;"bergwelten.com";service;OK;184257;2.618;588437;838578;1397022;38.20;205;03:25;1.67
2022-01-01;97;"servus.com";service;OK;168722;2.398;375058;500908;770822;56.98;144;02:24;1.54
2022-01-01;98;"speedweek.com";service;OK;135595;1.927;771002;2135209;4146505;19.97;232;03:52;1.94
2022-01-01;101;"dieabstauber.at";service;OK;0;0;0;0;0;0.00;0;00:00;0.00
2022-01-01;102;"fredl-chatbot.at";service;OK;0;0;0;0;0;0.00;0;00:00;0.00
2022-01-01;103;"skysportaustria.at - Sky Österreich";service;OK;294896;4.191;502215;1115030;1368341;77.89;124;02:04;1.23
2022-01-01;104;"skysportaward.at";service;OK;0;0;0;0;0;0.00;0;00:00;0.00
2022-01-01;105;"solidbau.at - SOLID - Wirtschaft und Technik am Bau";service;OK;856;0.012;3996;5872;10635;76.69;154;02:34;1.81
2022-01-01;107;"laola1.at";service;OK;1283215;18.235;1790213;7086435;16952841;89.12;235;03:55;2.39
2022-01-01;110;"springermedizin.at - Springer Medizin";service;OK;214;0.003;8199;10060;21094;38.36;122;02:02;2.10
